iter	RMSE
0	14.92630282
1	14.83475825
2	14.75285463
3	14.66237187
4	14.58330779
5	14.48987388
6	14.40531194
7	14.31894391
8	14.24964413
9	14.15876091
10	14.07530829
11	13.99424417
12	13.9115689
13	13.83329113
14	13.75140031
15	13.68561999
16	13.61194916
17	13.54227592
18	13.46427103
19	13.38489927
20	13.3141347
21	13.23562115
22	13.16409633
23	13.09250382
24	13.02288502
25	12.94951429
26	12.87483661
27	12.80268776
28	12.74290986
29	12.67298295
30	12.6155571
31	12.55422186
32	12.49645693
33	12.42425252
34	12.36146596
35	12.30222836
36	12.23851803
37	12.17768738
38	12.11905344
39	12.0592519
40	12.00967934
41	11.94444353
42	11.87946088
43	11.82785621
44	11.76602151
45	11.70238976
46	11.64996837
47	11.5980264
48	11.55007886
49	11.49090492
50	11.43274551
51	11.38261682
52	11.32838976
53	11.27380151
54	11.21704425
55	11.16023042
56	11.11176701
57	11.05473098
58	11.00162262
59	10.9509128
60	10.90030689
61	10.85429687
62	10.80795057
63	10.76109565
64	10.71069842
65	10.66595531
66	10.62668602
67	10.5769628
68	10.53388043
69	10.48384204
70	10.43643155
71	10.39518456
72	10.35063645
73	10.31148679
74	10.26058673
75	10.21454379
76	10.16756868
77	10.12187573
78	10.079486
79	10.0427463
80	9.999271661
81	9.964831671
82	9.925527508
83	9.885495671
84	9.8459629
85	9.805898651
86	9.769472044
87	9.726312371
88	9.689876014
89	9.647875536
90	9.606195127
91	9.56827114
92	9.525664382
93	9.490113995
94	9.450268221
95	9.416072284
96	9.384102644
97	9.349586521
98	9.319555599
99	9.291875491
100	9.253513726
101	9.224009512
102	9.198829879
103	9.167543899
104	9.1328779
105	9.09609395
106	9.065982421
107	9.032620325
108	9.00370492
109	8.976268815
110	8.94560848
111	8.915104022
112	8.88226216
113	8.856394757
114	8.822731708
115	8.791005107
116	8.766311015
117	8.74011113
118	8.713176154
119	8.682168126
120	8.655213403
121	8.626076858
122	8.597404072
123	8.566890491
124	8.540161206
125	8.515019927
126	8.487789527
127	8.463789623
128	8.44241752
129	8.411242539
130	8.386529274
131	8.359592306
132	8.332899237
133	8.308769213
134	8.280961994
135	8.255961728
136	8.233383651
137	8.210936536
138	8.186381181
139	8.159029797
140	8.136706724
141	8.115052127
142	8.094087328
143	8.07491085
144	8.04958671
145	8.026613965
146	8.005315121
147	7.983717362
148	7.959766729
149	7.940213709
150	7.921081961
151	7.895612278
152	7.875181542
153	7.854830413
154	7.834891166
155	7.81492929
156	7.794870905
157	7.777014733
158	7.757970434
159	7.739320195
160	7.722210609
161	7.701462088
162	7.685193734
163	7.666015316
164	7.647235779
165	7.625745416
166	7.607224206
167	7.584607746
168	7.564217307
169	7.547955754
170	7.529965674
171	7.51190755
172	7.494514794
173	7.476149251
174	7.460332441
175	7.444941219
176	7.426548435
177	7.411601622
178	7.394347939
179	7.377107025
180	7.359483904
181	7.343711142
182	7.325075422
183	7.307236692
184	7.291951802
185	7.280358528
186	7.269603401
187	7.254863898
188	7.238871799
189	7.228288737
190	7.215651983
191	7.199312792
192	7.183848138
193	7.169224974
194	7.152966556
195	7.139037053
196	7.1275123
197	7.113175438
198	7.100037265
199	7.085379855
200	7.07018486
201	7.05716521
202	7.043423621
203	7.029108372
204	7.016134766
205	7.003604649
206	6.98990312
207	6.976663422
208	6.965589915
209	6.949615673
210	6.935852011
211	6.920948807
212	6.909303959
213	6.896575638
214	6.883879975
215	6.869859889
216	6.858631306
217	6.848377951
218	6.836713987
219	6.824293624
220	6.812031765
221	6.79965808
222	6.789651136
223	6.780973413
224	6.77117782
225	6.761338898
226	6.748890124
227	6.737620061
228	6.725216429
229	6.713725474
230	6.703458344
231	6.695613164
232	6.688174626
233	6.675959261
234	6.669419107
235	6.65945429
236	6.648982865
237	6.638574219
238	6.628050535
239	6.617158951
240	6.60644031
241	6.595926655
242	6.588091946
243	6.578739853
244	6.56979593
245	6.56016561
246	6.551019741
247	6.541844785
248	6.533360443
249	6.524492146
250	6.515260315
251	6.50547419
252	6.494155295
253	6.485952741
254	6.474918248
255	6.466627081
256	6.455999256
257	6.448574888
258	6.440552705
259	6.42963005
260	6.421807693
261	6.413500095
262	6.403835071
263	6.395732807
264	6.386273353
265	6.377448951
266	6.367980599
267	6.360347899
268	6.352576193
269	6.345154441
270	6.338811405
271	6.329661127
272	6.322128107
273	6.314253854
274	6.308736703
275	6.302551444
276	6.295485842
277	6.288909256
278	6.282664678
279	6.275841221
280	6.267260473
281	6.261785662
282	6.254536353
283	6.249408179
284	6.242893472
285	6.233818522
286	6.226960705
287	6.220431793
288	6.214834919
289	6.20881688
290	6.202805597
291	6.198009715
292	6.190863621
293	6.183176397
294	6.177929649
295	6.172630455
296	6.166591765
297	6.160345064
298	6.153380059
299	6.148377072
300	6.142624122
301	6.136942746
302	6.130876093
303	6.125773823
304	6.120001262
305	6.113798641
306	6.110229633
307	6.104325039
308	6.099170242
309	6.095137946
310	6.090139738
311	6.083624164
312	6.077838118
313	6.072231689
314	6.06622963
315	6.061102751
316	6.057264774
317	6.052627618
318	6.047592973
319	6.042641387
320	6.038464216
321	6.033860489
322	6.030196657
323	6.025324208
324	6.020753279
325	6.016075061
326	6.010702959
327	6.004824999
328	6.000893378
329	5.996572409
330	5.990462867
331	5.986153269
332	5.982828965
333	5.978846875
334	5.974208343
335	5.968707793
336	5.964497415
337	5.95877308
338	5.954475963
339	5.951426626
340	5.947408639
341	5.94314957
342	5.939056742
343	5.935432813
344	5.930627899
345	5.926199909
346	5.923090404
347	5.918180315
348	5.91384343
349	5.910352766
350	5.907284366
351	5.903310522
352	5.89914179
353	5.895052653
354	5.891797614
355	5.887967734
356	5.884220704
357	5.881313084
358	5.877697469
359	5.874036708
360	5.868783051
361	5.863636428
362	5.860761264
363	5.857266216
364	5.854042789
365	5.849966138
366	5.84683987
367	5.842205001
368	5.839129095
369	5.835977461
370	5.832411586
371	5.828882031
372	5.825042985
373	5.821296129
374	5.818174126
375	5.814421758
376	5.810930214
377	5.808562892
378	5.805646634
379	5.802260476
380	5.799925585
381	5.797464456
382	5.79312373
383	5.789087784
384	5.786422697
385	5.783544569
386	5.781128704
387	5.778144686
388	5.775049237
389	5.771764986
390	5.767219633
391	5.764797443
392	5.76159344
393	5.758696824
394	5.75563032
395	5.752360895
396	5.749711847
397	5.747437255
398	5.744843194
399	5.741090088
400	5.738898213
401	5.736058707
402	5.732433725
403	5.729899412
404	5.726807432
405	5.724182392
406	5.721459989
407	5.718177464
408	5.715748453
409	5.713646731
410	5.711823893
411	5.709023799
412	5.705433462
413	5.702565266
414	5.699902857
415	5.697170125
416	5.695182684
417	5.693837006
418	5.691406989
419	5.689472601
420	5.687193727
421	5.684337799
422	5.680827778
423	5.677163669
424	5.674989731
425	5.673257197
426	5.670752696
427	5.668175081
428	5.66667472
429	5.664306884
430	5.66100834
431	5.659051292
432	5.65743351
433	5.65519825
434	5.653553307
435	5.651684975
436	5.648943011
437	5.646528066
438	5.644474812
439	5.642382447
