iter	Passed	Remaining
0	0	525
1	0	449
2	1	437
3	1	413
4	2	400
5	2	409
6	2	409
7	3	412
8	3	412
9	4	407
10	4	402
11	4	397
12	5	393
13	5	389
14	5	386
15	6	382
16	6	380
17	6	377
18	7	380
19	7	378
20	8	376
21	8	373
22	8	372
23	9	370
24	9	368
25	10	376
26	10	376
27	10	375
28	11	373
29	11	372
30	11	371
31	12	369
32	12	367
33	12	367
34	13	365
35	13	364
36	13	362
37	14	361
38	14	359
39	14	358
40	15	357
41	15	356
42	15	354
43	16	355
44	16	355
45	17	357
46	17	356
47	17	356
48	18	355
49	18	355
50	19	355
51	19	354
52	19	353
53	20	353
54	20	352
55	20	351
56	21	350
57	21	349
58	21	348
59	22	348
60	22	347
61	22	346
62	23	346
63	23	346
64	24	345
65	24	345
66	24	344
67	25	344
68	25	343
69	25	342
70	26	342
71	26	341
72	26	341
73	27	341
74	27	341
75	28	341
76	28	340
77	28	339
78	29	339
79	29	338
80	29	337
81	30	337
82	30	337
83	30	337
84	31	337
85	31	337
86	32	336
87	32	336
88	32	335
89	33	335
90	33	334
91	33	334
92	34	333
93	34	332
94	34	332
95	35	331
96	35	331
97	35	330
98	36	330
99	36	330
100	37	330
101	37	329
102	37	329
103	38	328
104	38	327
105	38	327
106	39	326
107	39	326
108	39	326
109	40	325
110	40	325
111	40	324
112	41	324
113	41	323
114	42	323
115	42	322
116	42	322
117	43	321
118	43	321
119	43	320
120	44	320
121	44	319
122	44	319
123	45	319
124	45	318
125	45	318
126	46	317
127	46	317
128	46	317
129	47	316
130	47	316
131	48	315
132	48	315
133	48	315
134	49	314
135	49	315
136	50	315
137	50	315
138	50	314
139	51	314
140	51	314
141	51	313
142	52	313
143	52	312
144	52	312
145	53	311
146	53	311
147	54	311
148	54	310
149	54	310
150	55	309
151	55	309
152	55	309
153	56	308
154	56	308
155	56	307
156	57	307
157	57	306
158	57	306
159	58	305
160	58	305
161	58	305
162	59	305
163	59	304
164	60	304
165	60	303
166	60	303
167	61	302
168	61	302
169	61	301
170	62	301
171	62	300
172	62	300
173	63	299
174	63	299
175	63	298
176	64	298
177	64	298
178	64	297
179	65	297
180	65	296
181	66	296
182	66	296
183	66	295
184	67	295
185	67	294
186	67	294
187	68	293
188	68	293
189	68	293
190	69	292
191	69	292
192	69	291
193	70	291
194	70	290
195	70	290
196	71	290
197	71	289
198	71	289
199	72	289
200	72	288
201	73	288
202	73	288
203	73	288
204	74	288
205	74	287
206	75	287
207	75	287
208	75	286
209	76	286
210	76	285
211	76	285
212	77	285
213	77	284
214	77	284
215	78	283
216	78	283
217	78	283
218	79	282
219	79	282
220	79	281
221	80	281
222	80	281
223	81	280
224	81	280
225	81	279
226	82	279
227	82	278
228	82	278
229	83	278
